(6, 23, 72), [2, 3, 0], 3.8.g_x_cu 
(6, 23, 76), [2, 3, 0], 3.8.g_x_cy 
(6, 25, 80), [2, 1, 0], 3.8.g_z_dc 
(6, 25, 84), [2, 1, 0], 3.8.g_z_dg 
(6, 27, 84), [2, 3, 0], 3.8.g_bb_dg 
(6, 27, 88), [2, 3, 0], 3.8.g_bb_dk 
(6, 27, 92), [2, 3, 0], 3.8.g_bb_do 
(6, 29, 88), [2, 1, 0], 3.8.g_bd_dk 
(6, 29, 92), [2, 1, 0], 3.8.g_bd_do 
(8, 21, 36), [0, 1, 0], 3.8.i_v_bk 
(8, 35, 112), [0, 3, 0], 3.8.i_bj_ei 
(8, 37, 124), [0, 1, 0], 3.8.i_bl_eu 
(8, 41, 136), [0, 1, 0], 3.8.i_bp_fg 
